撇 a
惠 b
孽 c
哄 d
鸣 e
纵 f
捐 g
罗 h
输 i
狡 j
扔 k
端 l
拜 m
妆 n
况 o
爆 p
倔 q
边 r
呵 s
煤 t
弦 u
杰 v
鸿 w
锚 x
崩 y
填 z
台 aa
窜 ab
肘 ac
喇 ad
疲 ae
胃 af
贡 ag
雕 ah
线 ai
馐 aj
玛 ak
埠 al
实 am
啬 an
斥 ao
漏 ap
契 aq
痒 ar
髑 as
闹 at
对 au
抗 av
秀 aw
尘 ax
麋 ay
栖 az
员 ba
柞 bb
梦 bc
熬 bd
厂 be
鱼 bf
乐 bg
牡 bh
裕 bi
未 bj
汁 bk
谆 bl
赚 bm
瑾 bn
盛 bo
遣 bp
诿 bq
蓿 br
骇 bs
极 bt
费 bu
拧 bv
膛 bw
旌 bx
穷 by
散 bz
龈 ca
闸 cb
靖 cc
鸡 cd
巧 ce
啄 cf
生 cg
师 ch
壶 ci
参 cj
情 ck
崽 cl
照 cm
坍 cn
暂 co
畜 cp
敕 cq
回 cr
朋 cs
肠 ct
忧 cu
黄 cv
撼 cw
令 cx
祀 cy
日 cz
薰 da
娶 db
双 dc
轰 dd
逢 de
槽 df
林 dg
斑 dh
显 di
点 dj
告 dk
尿 dl
逾 dm
讶 dn
敌 do
岔 dp
板 dq
敏 dr
榴 ds
阴 dt
起 du
闲 dv
直 dw
慕 dx
忻 dy
箩 dz
剖 ea
睚 eb
仪 ec
众 ed
熟 ee
鼓 ef
酵 eg
貌 eh
父 ei
寒 ej
蜘 ek
盖 el
谗 em
码 en
迦 eo
番 ep
忙 eq
牛 er
驼 es
锦 et
昌 eu
哈 ev
代 ew
块 ex
感 ey
践 ez
芽 fa
乎 fb
叙 fc
顿 fd
接 fe
讷 ff
蛆 fg
智 fh
问 fi
扛 fj
身 fk
旁 fl
针 fm
杂 fn
榻 fo
业 fp
傍 fq
汤 fr
穴 fs
阉 ft
斋 fu
纷 fv
荣 fw
膏 fx
蒺 fy
瓜 fz
终 ga
仗 gb
驾 gc
冠 gd
吟 ge
致 gf
举 gg
挞 gh
蝇 gi
宣 gj
翔 gk
阿 gl
胳 gm
陀 gn
赤 go
劳 gp
呐 gq
仑 gr
袖 gs
充 gt
禄 gu
戏 gv
刨 gw
陇 gx
厨 gy
般 gz
膳 ha
隆 hb
捡 hc
玎 hd
旨 he
芹 hf
熄 hg
柁 hh
嫉 hi
碰 hj
晚 hk
冷 hl
蘸 hm
挤 hn
杠 ho
柔 hp
遗 hq
阄 hr
呕 hs
棘 ht
响 hu
马 hv
威 hw
凳 hx
素 hy
迟 hz
罚 ia
言 ib
添 ic
蕃 id
葡 ie
乘 if
仙 ig
叉 ih
牙 ii
辗 ij
靶 ik
训 il
崎 im
刺 in
悲 io
各 ip
淋 iq
绳 ir
抡 is
娘 it
授 iu
兄 iv
蚁 iw
眉 ix
胜 iy
客 iz
咂 ja
造 jb
案 jc
稳 jd
度 je
孳 jf
辜 jg
事 jh
葬 ji
怠 jj
续 jk
培 jl
埃 jm
梅 jn
河 jo
深 jp
寻 jq
跪 jr
听 js
骗 jt
踹 ju
假 jv
錾 jw
卜 jx
锐 jy
标 jz
晋 ka
人 kb
烘 kc
4 kd
座 ke
篾 kf
莫 kg
疵 kh
摆 ki
梗 kj
革 kk
顽 kl
捻 km
夹 kn
最 ko
囚 kp
睡 kq
贻 kr
堂 ks
哼 kt
蚂 ku
冰 kv
寡 kw
危 kx
陋 ky
琴 kz
敬 la
诅 lb
波 lc
倭 ld
鄙 le
掘 lf
算 lg
宰 lh
狂 li
蜃 lj
弃 lk
惫 ll
姓 lm
君 ln
矿 lo
稍 lp
梭 lq
喊 lr
赞 ls
笏 lt
槌 lu
水 lv
耸 lw
旗 lx
与 ly
尖 lz
彷 ma
帖 mb
抄 mc
哪 md
闻 me
墁 mf
绵 mg
赴 mh
棂 mi
叩 mj
赂 mk
久 ml
剃 mm
褥 mn
判 mo
泻 mp
便 mq
雪 mr
痊 ms
舵 mt
鹕 mu
蟀 mv
卸 mw
驳 mx
能 my
电 mz
率 na
谷 nb
背 nc
宇 nd
翅 ne
叠 nf
捆 ng
墙 nh
影 ni
囵 nj
堆 nk
霉 nl
只 nm
翠 nn
把 no
姑 np
嘬 nq
任 nr
订 ns
赦 nt
峻 nu
示 nv
亦 nw
宽 nx
雏 ny
乏 nz
金 oa
艺 ob
冥 oc
鲁 od
偷 oe
茅 of
批 og
球 oh
飞 oi
饰 oj
刑 ok
楣 ol
扎 om
恳 on
软 oo
制 op
藏 oq
远 or
厉 os
畅 ot
谋 ou
舜 ov
宫 ow
蔻 ox
瞎 oy
春 oz
诏 pa
井 pb
宴 pc
性 pd
犁 pe
笛 pf
脓 pg
符 ph
给 pi
不 pj
麦 pk
宵 pl
涨 pm
油 pn
珞 po
恒 pp
牢 pq
矜 pr
帐 ps
窍 pt
们 pu
腰 pv
狱 pw
蹿 px
袱 py
故 pz
亥 qa
结 qb
灾 qc
政 qd
砰 qe
驹 qf
暗 qg
半 qh
幽 qi
姻 qj
镣 qk
坛 ql
娈 qm
税 qn
王 qo
突 qp
担 qq
航 qr
弄 qs
惩 qt
逞 qu
励 qv
视 qw
过 qx
肌 qy
宜 qz
斗 ra
解 rb
降 rc
相 rd
行 re
楠 rf
胁 rg
试 rh
陡 ri
嫂 rj
搜 rk
帚 rl
分 rm
元 rn
唤 ro
掠 rp
愁 rq
峰 rr
曾 rs
湃 rt
逼 ru
粗 rv
山 rw
扰 rx
拢 ry
莲 rz
仍 sa
触 sb
屉 sc
甘 sd
叹 se
延 sf
化 sg
哲 sh
者 si
毒 sj
赀 sk
叨 sl
薛 sm
蜗 sn
派 so
夺 sp
萨 sq
郎 sr
格 ss
旷 st
懈 su
份 sv
掰 sw
务 sx
课 sy
腓 sz
泰 ta
府 tb
骂 tc
攒 td
秸 te
撕 tf
镟 tg
柏 th
胶 ti
