category,question,answer,language
证券交易服务一般资讯,网上理财 / 流动理财证券交易步骤,"
登入中信银行国际网上理财 / 流动理财
选择证券交易 > 选择证券交易市场（香港证券交易 / 沪港通 / 美国证券交易） > 交易
输入买卖交易指示内容 > 按递交键
核实交易指示内容无误 > 按确定键
系统接纳交易指示后，会显示交易编号(你可于「交易情况 / 更改交易指示」查询有关交易状态数据)
",sc
证券交易服务一般资讯,我需要提供什么数据作买卖指令？ ,"当阁下登入后，可以在交易页面页进行买卖，请参照以下步骤：
于报价栏输入证券代号索取证券价格。(如果阁下不知道证券代号，请按「代号搜寻」进行查询。)
选择适当的证券交易户口
选择交易类别（如适用）
输入适当的证券编号(如果阁下不知道证券代号，请按「编号搜寻」进行查询。)
在「股数」栏输入阁下想买入或卖出的股数。 
输入「限定价格」（如适用）
选择「有效日期」（如适用）。 
按「递交」按钮预览阁下所输入的指令或按「清除」按钮清除所有以选择之项目及重新开始。 
按「确定」进行阁下的交易指令。 
交易确认随后便会显示，以确定此交易指令已被接受并进行处理。此时，阁下亦会收到一个交易编号。 ",sc
证券交易服务一般资讯,当我买卖证券时，中信银行(国际)何时会于我的账户内扣除我已购入之证券款项？,当本行确认处理买盘指示后，有关之买货金额将会被冻结于阁下的证券结算账户内。本行会于结算日于阁下之账户内扣除已认购之证券款项。阁下已购入之证券于交易日及结算日中间之时段仍然于阁下之账户内享有利息。 ,sc
证券交易服务一般资讯,我可如何透过网上理财查询证劵交易之购买力？ ,请于交易页面，选择适当的证券交易户口，再按「查询结算户口结余」，各货币之可供交易的总结余即一目了然。,sc
证券交易服务一般资讯,我如何确定我的交易指令已透过互联网传到中信银行(国际)，并且已经得到处理？ ,"阁下会立即在网上收到一个交易编号，这表示本行已收到阁下的指令。阁下需按「交易状况」检阅阁下的买卖指令状况，查看阁下指令是否经已执行。买卖状况的类别包括执行中、已挂牌、全数成交、部份成交、已过期指令及交易被拒绝。
待处理 - 交易指示待本行处理。 
执行中 - 交易指示处理中。 
已挂牌 - 待完成交易指示。 
全数成交 - 交易指示全数被执行。 
部份成交 - 交易指示部份被执行。 
已过期指令 - 交易指示还未执行因已过了原有之指定时间。 
交易被拒绝 - 交易指示因特定原因被拒绝。 
",sc
证券交易服务一般资讯,我可如何查询交易状况或成盘结果？ ,你只须在证券交易版面，再进入「交易情况 / 更改交易指示」版面，便可查询交易状况或成盘结果。你亦可选择接收电邮/短讯以获通知成盘结果。 ,sc
证券交易服务一般资讯,我如果想更改正在处理中或其他的指令，我可以怎样做？ ,"
按「交易情况 / 更改交易指示」。 
在选定之交易指示列选择「更改」，画面上便会随后出现「更改买卖指令」版面。 
于所需的栏目内输入更改的指令。此时现有指令详情会列在画面的左方，使比较起来更为方便。 
交易确认随后便会显示，以确定此交易指令当中的更改已被接收，并进行处理。在这里，阁下可进入「交易状况」链接查核阁下的指令状况。 
请注意：本行将尽最大努力迅速地将取消交易指示递交至各个交易市场。任何全数取消，未完成交易或部份成交之更改交易指示，并不能保证完全执行，基于原有的交易指示或已部份或全部被执行。更改交易指示或取消交易指示将视乎市场情况及原有的交易指示之执行情况而定。 ",sc
证券交易服务一般资讯,如果我想取消正在处理中或已部份成交的指令，我可以怎样做？ ,"
按「交易情况/更改交易指示」。 
在选定之交易指示列选择「取消」，画面上便会随后出现「取消交易指示」版面。 
按「取消交易」键以确定进行取消指令的步骤。 
如果阁下选择取消了一张不当的指令或阁下原本并不想取消的指令，请按「取消」键。如果当中发生错误，此时版面会显示详情。 
交易确认随后便会显示，以确定此交易指令已被接收，并进行处理。在这里，阁下可再按入「交易状况」查核阁下的指令状况。 
阁下可取消仍未成交的证券买卖指令。只须到「交易状况」版面然后按「取消」，阁下便可取消指令。请注意客户所提交的取消指令本行将尽最大努力迅速地将取消交易指示递交至各个交易市场。任何全数取消，未完成交易或部份成交之更改交易指示，并不能保证完全执行，基于原有的交易指示或已部份或全部被执行。 ",sc
证券交易服务一般资讯,如果我的买卖指令在有效日期收市前仍未被执行将会怎样处理？ ,在有效日期收市后，所有未能配对的买卖盘将被删除。如阁下想将指令于下一个工作天执行，阁下须在收市后重新输入指令。,sc
证券交易服务一般资讯,未成交的交易指示被取消时，交易状况及结余会有什么变化？ ,被取消之交易所涉及的「待执行指令所预留现金」会拨回至「买货可使用结余」。 ,sc
证券交易服务一般资讯,未成交的交易指示到期时，交易状况及结余会有什么变化？ ,于有效日期收市以后，此类交易指示会于「交易状况」显示为「已过期指令」，其涉及的「待执行指令所预留现金」会拨回至「买货可使用结余」。 ,sc
